Accuracy,Precision,Recall,F1
0.9918040089086859,0.9895795246800732,0.993575624082232,0.9915735482689138
0.9897550111358575,0.9864890223306436,0.9918867924528302,0.9891805437952771
0.9866369710467706,0.9850968703427719,0.9869354236655469,0.986015289949655
0.9922494432071269,0.9968158831241806,0.9870178041543026,0.9918926474699469
0.9857461024498887,0.981574539363484,0.9885660731021556,0.9850579006350391
0.9905567928730512,0.991835959749383,0.9880839795725365,0.9899564146295243
0.9918040089086859,0.9873887240356083,0.9955123410620793,0.9914338919925512
0.9906458797327394,0.9920029756369723,0.9885100074128984,0.9902534113060429
0.9888641425389755,0.9818643453028655,0.9954035668321383,0.988587601570346
0.9888641425389755,0.9831886199889156,0.9936519790888723,0.9883926084130374
0.9850334075723831,0.9783985102420857,0.9901997738409348,0.9842637692019484
0.9705122494432071,0.9431179775280899,0.998698642870422,0.9701128668171557
0.9910913140311804,0.9929990539262062,0.9881378271511956,0.990562476406191
0.9898440979955456,0.9879002233804914,0.9908513816280806,0.9893736017897091
0.9876169265033408,0.9870689655172413,0.9868840172381488,0.9869764827133889
0.9905567928730512,0.9920978363123236,0.9880082443320217,0.9900488171235449
0.9900222717149221,0.9873770187488398,0.9917956367704643,0.9895813953488373
0.9869042316258352,0.978644382544104,0.993964541682384,0.986244970524937
0.9871714922048997,0.9896460843373494,0.9833520389075945,0.9864890223306436
0.9890423162583519,0.9868250139172389,0.990316573556797,0.9885677107537875
0.9897550111358575,0.9883764529433821,0.9900469483568075,0.9892109954029458
0.990467706013363,0.9960302457466919,0.9839402427637721,0.9899483325504932
0.9925167037861915,0.9896200185356812,0.9947829327370971,0.992194759338413
0.9916258351893096,0.9875672666542958,0.9949523275378576,0.9912460420934998
0.9894877505567928,0.9853459469486181,0.9927116426836106,0.9890150809905046
0.9895768374164811,0.9919566030677142,0.9862376790031616,0.9890888743821691
0.9890423162583519,0.9850392264185368,0.9924632352941176,0.9887372951194946
0.9915367483296214,0.9878631849944832,0.9946306239585262,0.9912353538149276
0.9921603563474387,0.9897735573411249,0.9941305942773294,0.9919472913616398
0.9887750556792873,0.9895417379729987,0.9865402843601896,0.9880387317258401
0.9915367483296214,0.9883392890727855,0.9937594553706506,0.9910419613389911
0.9927839643652562,0.9937923250564334,0.9909960607765897,0.9923922231614539
