Accuracy,Precision,Recall,F1
0.9836971046770602,0.9687160940325498,0.9981367616918204,0.9832063870790125
0.9679287305122495,0.9508404120730164,0.9835483267900542,0.9669178459841941
0.9889532293986637,0.9941387785970883,0.9826200710147636,0.9883458646616542
0.990913140311804,0.9881547288543402,0.9929328621908127,0.9905380333951763
0.9882405345211581,0.9902105652013299,0.9854779411764706,0.9878385848535102
0.9908240534521158,0.9877868245743894,0.9931162790697674,0.990444382595788
0.9910022271714922,0.9914688427299704,0.9898167006109979,0.9906420828314648
0.990913140311804,0.9904657132379905,0.9908290535583272,0.9906473500825235
0.9936748329621381,0.9926164331692541,0.9939336492890996,0.9932746045278014
0.9895768374164811,0.9840853772701741,0.9939485627836612,0.9889923793395428
0.9878841870824053,0.9848795967892477,0.9896829863065091,0.9872754491017965
0.9922494432071269,0.9921057462823573,0.9919236417033774,0.9920146856356127
0.9898440979955456,0.9832277301528141,0.9954716981132076,0.9893118319894993
0.9908240534521158,0.9890191699236925,0.9917879805897724,0.9904016401080982
0.9931403118040089,0.9958947564844187,0.9897997032640949,0.9928378755464609
0.9917149220489978,0.9930398796087284,0.9895032802249297,0.9912684254999531
0.9898440979955456,0.9828262086988986,0.9958388500094572,0.9892897406989852
0.9790645879732739,0.9595541973755168,0.9981301421091997,0.9784621024654019
0.9901113585746102,0.9890801406625949,0.9903632320237212,0.9897212704880082
0.9816481069042317,0.9937724098886582,0.9681926824783967,0.9808157943751163
0.9820044543429844,0.9893657424990505,0.9727408513816281,0.9809828657503294
0.9867260579064588,0.9795424958155106,0.9926498303807011,0.9860526069456146
0.9925167037861915,0.9940287367046091,0.9903327756088492,0.9921773142112126
0.990913140311804,0.9933699564311422,0.9873846733195255,0.9903682719546741
0.9939420935412027,0.992548435171386,0.9947722180731889,0.9936590824319284
0.9918930957683741,0.9850221893491125,0.9981262881768784,0.9915309446254073
0.9869042316258352,0.9857731186821416,0.9866966460558366,0.9862346661672442
0.9900222717149221,0.9919430391605771,0.9871340667536826,0.9895327102803738
0.9880623608017818,0.9772811230144071,0.9979253112033195,0.9874953340798805
0.990467706013363,0.983570241831272,0.9966329966329966,0.9900585338660224
0.9861915367483296,0.9813549935388591,0.9899441340782122,0.9856308519514231
0.9914476614699332,0.9901432025292914,0.9919880752748277,0.9910647803425168
